id,name,lat,lon,is_active,validation_date,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
TTSL_2,Montijo,38.701514,-8.977317,1,2023-08-30,Montijo,,,1507,Montijo,15,Setúbal,PT170,AML,
TTSL_3,Seixal,38.647270,-9.095200,1,2023-08-30,Seixal,,,1510,Seixal,15,Setúbal,PT170,AML,
TTSL_5,Cais Sodré,38.705185,-9.144979,1,2023-08-30,Cais Sodré,,,1106,Lisboa,11,Lisboa,PT170,AML,
TTSL_6,Cacilhas,38.688065,-9.147901,1,2023-08-30,Cacilhas,,,1503,Almada,15,Setúbal,PT170,AML,
TTSL_8,Belem,38.694970,-9.198548,1,2023-08-30,Belem,,,1106,Lisboa,11,Lisboa,PT170,AML,
TTSL_9,Trafaria,38.674353,-9.230720,1,2023-08-30,Trafaria,,,1503,Almada,15,Setúbal,PT170,AML,
TTSL_10,Porto Brandão,38.677960,-9.206828,1,2023-08-30,Porto Brandão,,,1503,Almada,15,Setúbal,PT170,AML,
TTSL_15,Terreiro do Paço,38.706787,-9.133421,1,2023-08-30,Terreiro do Paço,,,1106,Lisboa,11,Lisboa,PT170,AML,
TTSL_16,Barreiro,38.652056,-9.079512,1,2023-08-30,Barreiro,,,1504,Barreiro,15,Setúbal,PT170,AML,
AF_1,Setúbal (Doca do Comércio),38.521450,-8.885385,1,2023-08-30,Setúbal,,,1512,Setúbal,15,Setúbal,PT170,AML,
