id,name,lat,lon,A1,A2,A3,A4,phone,email,url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
CS0001,Espaço Cidadão da Amadora,38.760191,-9.235582,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-da-amadora,Avenida Movimento das Forças Armadas n.º 1,2700-595,Amadora,,,1115,,,,,,030095|030097|030101|030119|030121|030317|030319|030475|030687|030842|030843|030845|030880
CS0002,Espaço Cidadão da Encosta do Sol - Posto 1,38.766434,-9.214055,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-da-encosta-do-sol-posto-1,Rua Luís Vaz de Camões,2650-197,Brandoa,,,1115,,,,,,030355|030356|030373|030377|030387|030389|030390|030423|030425|030695|030701|030737|030852
CS0003,Espaço Cidadão da Encosta do Sol - Posto 2,38.762929,-9.207599,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-da-encosta-do-sol-posto-2,Rua Capitães de abril n.º 23A,2650-352,Alfornelos,,,1115,,,,,,030391|030393|030395|030396|030397|030398|030400|030413|030421|030422
CS0005,Espaço Cidadão da Venteira,38.751359,-9.231663,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-da-venteira,Avenida Pangim nº 11C,2720-444,Amadora,,,1115,,,,,,030445|030446|030457|030458|030461|030462|030483|030485|030491|030492|030493|030495|030535|030537|030538|030543|030837|030839|030840|030841|030865|030866|030867|030868
CS0006,Espaço Cidadão de Mina de Água,38.769597,-9.229224,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-de-mina-de-agua,Praceta Moinho da Boba nº 10/E,2700-590,Amadora,,,1115,,,,,,030135|030136|030165|030167|030168|030185|030186|030187|030188|030245|030335
CS0007,Espaço Cidadão de Águas Livres,38.742097,-9.209243,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-de-aguas-livres,Largo Borges Carneiro n.º 3 G (Buraca),2610-028,Amadora,,,1115,,,,,,030031|030032|030033|030037|030038|030055
CS0008,Espaço Cidadão da Loja de Cidadão de Cascais,38.699311,-9.423419,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-na-loja-de-cidadao-de-cascais,"Rua Manuel Joaquim Avelar, n.º 118, -1",2750-421,Cascais,,,1105,,,,,,050251|050317
CS0010,Espaço Cidadão ACM - CNAIM (Lisboa),38.724903,-9.134453,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-acm-cnaim-lisboa-,"Rua Álvaro Coutinho, n.º 14",1150-025,Arroios,,,1106,,,,,,
CS0011,Espaço Cidadão da Ajuda,38.703309,-9.195227,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-da-ajuda,"Travessa da Boa Hora, n.º 1",1300-101,Ajuda,,,1106,,,,,,
CS0012,Espaço Cidadão da Loja de Cidadão das Laranjeiras - Lisboa,38.750428,-9.171225,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-da-loja-de-cidadao-das-laranjeiras-lisboa,"Rua Abranches Ferrão, n.º 10",1600-001,Lisboa,,,1106,,,,,,
CS0013,Espaço Cidadão da Loja de Cidadão de Lisboa - Marvila,38.749388,-9.116809,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-na-loja-de-cidadao-de-lisboa-marvila,Avenida Santo Condestável - Centro Comercial Pingo Doce Bela Vista - Loja 34,1950-392,Lisboa,,,1106,,,,,,
CS0014,Espaço Cidadão da Loja de Cidadão do Saldanha,38.731285,-9.144351,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-na-loja-de-cidadao-do-saldanha,"Rua Eng.º Vieira da Silva - Mercado 31 de Janeiro, 1º Piso",1050-094,Lisboa,,,1106,,,,,,
CS0015,Espaço Cidadão da Misericórdia,38.711150,-9.149012,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-da-misericordia,"Largo Dr. António de Sousa de Macedo, n.º 7D",1200-153,Lisboa,,,1106,,,,,,
CS0016,Espaço Cidadão de Alcântara,38.704960,-9.178929,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-de-alcantara,"Rua Leão de Oliveira - Mercado Rosa Agulhas, Loja 14",1300-360,Lisboa,,,1106,,,,,,
CS0017,Espaço Cidadão de Alvalade - Azinhaga dos Barros,38.756244,-9.168653,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-de-alvalade-azinhaga-dos-barros,Rua Mem de Sá,1600-210 ,Alvalade,,,1106,,,,,,
CS0018,Espaço Cidadão de Alvalade - Biblioteca Manoel Chaves Caminha,38.753006,-9.137808,,,,, 300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/espaco-cidadao-de-alvalade-biblioteca-manoel-chaves-caminha,"Avenida Rio de Janeiro, n.º 30A",1700-336,Lisboa,,,1106,,,,,,
